Rooms,Bathroom,Landsize,BuildingArea,Suburb,YearBuilt,Lattitude,Longtitude,Car,Price
2,1.0,130.0,81.0,Albert Park,1900.0,-37.8431,144.9565,0.0,1436000.0
2,1.0,147.0,123.0,Albert Park,1900.0,-37.8444,144.9484,0.0,1110000.0
2,1.0,167.0,123.0,Albert Park,1903.0,-37.8405,144.9521,1.0,1550000.0
4,2.0,153.0,180.0,Albert Park,1880.0,-37.8447,144.9523,1.0,2300000.0
3,2.0,718.0,123.0,Albert Park,1903.0,-37.8443,144.9598,2.0,1550000.0
3,2.0,132.0,159.0,Albert Park,1996.0,-37.8415,144.952,1.0,1800000.0
2,1.0,199.0,107.0,Albert Park,1900.0,-37.8422,144.9554,1.0,2120000.0
3,1.0,253.0,123.0,Albert Park,1903.0,-37.8443,144.9579,1.0,1800000.0
3,2.0,90.0,122.0,Albert Park,1900.0,-37.8421,144.9571,1.0,1800000.0
2,1.0,240.0,123.0,Albert Park,1903.0,-37.8379,144.9539,0.0,1810000.0
3,2.0,177.0,181.0,Albert Park,1880.0,-37.8415,144.9585,1.0,2615000.0
5,2.0,237.0,123.0,Albert Park,1903.0,-37.8436,144.9557,1.0,2100000.0
3,1.0,129.0,123.0,Albert Park,1903.0,-37.8422,144.94899999999996,0.0,1300000.0
3,2.0,0.0,85.0,Albert Park,2000.0,-37.8451,144.9511,2.0,1370000.0
2,1.0,288.0,123.0,Albert Park,1903.0,-37.8407,144.9523,0.0,1000000.0
3,2.0,228.0,123.0,Albert Park,1903.0,-37.8445,144.9501,1.0,2575000.0
2,1.0,149.0,98.0,Albert Park,1890.0,-37.8443,144.9481,0.0,1322500.0
2,1.0,141.0,83.0,Albert Park,1890.0,-37.8424,144.9562,0.0,1562500.0
3,2.0,211.0,147.0,Albert Park,1900.0,-37.847,144.9575,1.0,2000000.0
3,1.0,209.0,123.0,Albert Park,1900.0,-37.8468,144.9546,0.0,1900000.0
3,2.0,147.0,146.0,Albert Park,1890.0,-37.8473,144.9551,0.0,3010000.0
4,3.0,327.0,254.0,Albert Park,1910.0,-37.8467,144.9475,1.0,2800000.0
2,1.0,0.0,123.0,Albert Park,1903.0,-37.846,144.9542,1.0,647000.0
3,1.0,120.0,123.0,Albert Park,1900.0,-37.8427,144.9546,1.0,2100000.0
3,1.0,238.0,131.0,Albert Park,1890.0,-37.8461,144.9528,1.0,2000000.0
1,1.0,0.0,34.0,Albert Park,1970.0,-37.8421,144.9517,0.0,442500.0
4,2.0,330.0,207.0,Albert Park,1910.0,-37.8477,144.9558,1.0,4735000.0
2,1.0,136.0,123.0,Albert Park,1903.0,-37.846,144.9517,0.0,1340000.0
3,1.0,202.0,123.0,Albert Park,1903.0,-37.8429,144.9493,1.0,1801000.0
3,3.0,0.0,123.0,Albert Park,1903.0,-37.8415,144.9585,1.0,1532000.0
3,2.0,325.0,123.0,Albert Park,1903.0,-37.8413,144.95,2.0,3755000.0
4,2.0,183.0,145.0,Albert Park,1880.0,-37.8434,144.9495,1.0,2140000.0
2,1.0,162.0,123.0,Albert Park,1903.0,-37.8416,144.9488,1.0,1750000.0
2,1.0,79.0,68.0,Albert Park,1890.0,-37.8387,144.9519,0.0,980000.0
3,2.0,152.0,123.0,Albert Park,1903.0,-37.8488,144.9551,0.0,2030000.0
3,2.0,147.0,134.0,Albert Park,1890.0,-37.8448,144.9453,2.0,1740000.0
3,3.0,0.0,123.0,Albert Park,1903.0,-37.8399,144.9577,1.0,2800000.0
1,1.0,81.0,54.0,Albert Park,1900.0,-37.8411,144.9497,0.0,985000.0
4,2.0,853.0,263.0,Alphington,1930.0,-37.7707,145.0318,4.0,2000000.0
3,2.0,208.0,153.0,Alphington,2013.0,-37.7854,145.0325,2.0,1110000.0
3,2.0,411.0,153.0,Alphington,1962.0,-37.7713,145.0279,2.0,1492000.0
4,2.0,599.0,203.0,Alphington,1925.0,-37.7717,145.031,1.0,1717500.0
5,4.0,809.0,165.0,Alphington,1910.0,-37.775,145.0268,4.0,2840000.0
2,1.0,88.0,60.0,Alphington,1960.0,-37.7791,145.0306,1.0,525500.0
2,2.0,155.0,140.0,Alphington,2004.0,-37.7804,145.0308,3.0,805000.0
2,1.0,0.0,153.0,Alphington,1962.0,-37.7773,145.0314,1.0,465000.0
3,3.0,686.0,153.0,Alphington,1962.0,-37.78,145.0341,2.0,2000000.0
3,1.0,592.0,153.0,Alphington,1962.0,-37.7755,145.0288,2.0,1540000.0
2,1.0,183.0,153.0,Alphington,1962.0,-37.7747,145.0264,1.0,820000.0
4,2.0,606.0,112.0,Alphington,1970.0,-37.7743,145.0316,2.0,1830000.0
4,2.0,575.0,271.0,Alphington,2008.0,-37.7723,145.0319,2.0,2100000.0
3,1.0,180.0,131.0,Alphington,2010.0,-37.7802,145.0243,1.0,865000.0
2,1.0,0.0,60.0,Alphington,1960.0,-37.7773,145.0314,1.0,390000.0
2,1.0,0.0,153.0,Alphington,1962.0,-37.7848,145.025,0.0,650000.0
2,1.0,0.0,61.0,Alphington,1965.0,-37.7805,145.0262,1.0,512000.0
3,1.0,979.0,153.0,Alphington,1962.0,-37.7792,145.029,2.0,1165000.0
4,2.0,556.0,272.0,Alphington,1930.0,-37.7844,145.0225,2.0,1900000.0
3,0.0,597.0,153.0,Alphington,1962.0,-37.7781,145.0284,0.0,1485000.0
4,2.0,589.0,210.0,Alphington,1920.0,-37.7719,145.0309,3.0,1950000.0
3,2.0,352.0,242.0,Altona,2015.0,-37.87,144.825,1.0,520000.0
5,3.0,729.0,268.0,Altona,2005.0,-37.8721,144.8105,3.0,1525000.0
2,1.0,292.0,125.0,Altona,2013.0,-37.8687,144.8197,2.0,720000.0
3,1.0,506.0,120.0,Altona,1930.0,-37.8693,144.8375,2.0,1120000.0
4,1.0,655.0,121.0,Altona,1981.0,-37.868,144.8154,4.0,780000.0
4,3.0,1057.0,220.0,Altona,1962.0,-37.8681,144.819,6.0,1780000.0
3,1.0,311.0,94.0,Altona,1955.0,-37.8702,144.8143,2.0,630000.0
2,1.0,65.0,121.0,Altona,1981.0,-37.8693,144.8171,1.0,406000.0
3,1.0,602.0,123.0,Altona,1955.0,-37.8616,144.8116,1.0,660000.0
3,1.0,530.0,121.0,Altona,1981.0,-37.8594,144.817,1.0,683500.0
2,1.0,225.0,93.0,Altona,1988.0,-37.8696,144.827,1.0,580000.0
3,1.0,777.0,22.0,Altona,1953.0,-37.8697,144.8249,4.0,1335000.0
3,2.0,280.0,121.0,Altona,1997.0,-37.8734,144.8143,2.0,800000.0
2,1.0,127.0,76.0,Altona,1990.0,-37.8686,144.8182,1.0,510000.0
4,2.0,695.0,121.0,Altona,1981.0,-37.8733,144.8147,2.0,1070000.0
2,1.0,115.0,57.0,Altona,1980.0,-37.871,144.8185,2.0,425000.0
3,2.0,230.0,121.0,Altona,1981.0,-37.8646,144.827,2.0,605000.0
3,2.0,197.0,152.0,Altona,1981.0,-37.8579,144.8181,2.0,705000.0
2,1.0,0.0,65.0,Altona,1965.0,-37.8678,144.8384,1.0,391000.0
2,1.0,0.0,121.0,Altona,1981.0,-37.8659,144.83100000000005,1.0,440000.0
4,1.0,745.0,130.0,Altona,1950.0,-37.8658,144.8155,2.0,845000.0
3,2.0,211.0,176.0,Altona,1981.0,-37.8698,144.816,2.0,743000.0
3,2.0,69.0,141.0,Altona,2014.0,-37.868,144.8286,1.0,730000.0
3,1.0,625.0,121.0,Altona,1960.0,-37.8611,144.8114,4.0,635000.0
2,1.0,168.0,121.0,Altona,1981.0,-37.8676,144.8202,1.0,620000.0
2,1.0,137.0,77.0,Altona,1990.0,-37.8655,144.8299,1.0,447000.0
3,2.0,70.0,121.0,Altona,1981.0,-37.868,144.8287,1.0,730000.0
3,1.0,606.0,87.0,Altona,1950.0,-37.8608,144.8124,2.0,678000.0
2,2.0,175.0,76.0,Altona,2013.0,-37.8687,144.8268,1.0,580000.0
3,1.0,363.0,121.0,Altona,1981.0,-37.8674,144.8375,2.0,712000.0
3,2.0,534.0,136.0,Altona,1965.0,-37.86,144.8245,2.0,840000.0
3,1.0,724.0,121.0,Altona,1981.0,-37.8672,144.817,2.0,980000.0
3,2.0,265.0,121.0,Altona,1981.0,-37.8583,144.8172,0.0,605100.0
3,3.0,577.0,121.0,Altona,1981.0,-37.8699,144.8235,1.0,880000.0
3,2.0,205.0,113.0,Altona,2007.0,-37.8684,144.815,1.0,577000.0
4,1.0,797.0,121.0,Altona,1981.0,-37.8663,144.8387,0.0,1030000.0
3,1.0,181.0,121.0,Altona,1981.0,-37.8659,144.822,2.0,605000.0
3,2.0,529.0,121.0,Altona,1981.0,-37.8612,144.8247,2.0,753000.0
2,2.0,675.0,100.0,Altona,1950.0,-37.8653,144.8129,1.0,857000.0
3,1.0,929.0,121.0,Altona,1981.0,-37.8651,144.832,1.0,1500000.0
3,2.0,70.0,3.0,Altona,2014.0,-37.868,144.8285,1.0,730000.0
3,1.0,697.0,121.0,Altona,1981.0,-37.871,144.8075,4.0,900000.0
3,1.0,604.0,121.0,Altona,1981.0,-37.8631,144.8195,2.0,740000.0
4,2.0,532.0,121.0,Altona,1970.0,-37.8637,144.8365,3.0,931000.0
2,1.0,154.0,91.0,Altona,1996.0,-37.8646,144.8272,1.0,535600.0
5,3.0,592.0,251.0,Altona North,1965.0,-37.8388,144.8567,6.0,1085000.0
3,1.0,533.0,117.0,Altona North,1970.0,-37.8291,144.835,2.0,781000.0
3,1.0,554.0,162.0,Altona North,1973.0,-37.8449,144.85,3.0,750000.0
2,1.0,77.0,77.0,Altona North,2009.0,-37.8351,144.8529,1.0,421000.0
3,1.0,655.0,162.0,Altona North,1973.0,-37.8338,144.8562,3.0,1405000.0
3,1.0,534.0,167.0,Altona North,1967.0,-37.8284,144.8355,2.0,683000.0
3,1.0,540.0,162.0,Altona North,1973.0,-37.8267,144.8368,3.0,623000.0
3,2.0,0.0,130.0,Altona North,2012.0,-37.8379,144.8583,1.0,720000.0
3,1.0,328.0,118.0,Altona North,1970.0,-37.838,144.8555,1.0,588000.0
3,1.0,540.0,116.0,Altona North,1960.0,-37.8294,144.8378,3.0,710000.0
4,1.0,559.0,169.0,Altona North,1965.0,-37.8448,144.8529,4.0,875000.0
3,1.0,554.0,162.0,Altona North,1973.0,-37.8449,144.85,3.0,700000.0
2,1.0,252.0,162.0,Altona North,1965.0,-37.8397,144.8602,1.0,640000.0
4,1.0,558.0,162.0,Altona North,1973.0,-37.8451,144.8529,4.0,650000.0
3,2.0,171.0,109.0,Altona North,2012.0,-37.8337,144.8554,2.0,675000.0
3,1.0,585.0,97.0,Altona North,1960.0,-37.8258,144.8523,2.0,708000.0
4,1.0,851.0,162.0,Altona North,1973.0,-37.8345,144.8444,4.0,965000.0
3,1.0,551.0,162.0,Altona North,1973.0,-37.8254,144.8514,3.0,680000.0
3,1.0,602.0,603.0,Altona North,1973.0,-37.8327,144.8451,3.0,770000.0
3,1.0,740.0,162.0,Altona North,1973.0,-37.8269,144.8455,2.0,923000.0
4,2.0,315.0,170.0,Altona North,2008.0,-37.8391,144.8467,4.0,693000.0
3,2.0,276.0,100.0,Altona North,2010.0,-37.8262,144.8443,2.0,620000.0
3,1.0,531.0,157.0,Altona North,1960.0,-37.8277,144.8385,1.0,728500.0
3,2.0,590.0,160.0,Altona North,1950.0,-37.8382,144.8649,1.0,931000.0
3,1.0,715.0,162.0,Altona North,2008.0,-37.8423,144.8632,4.0,988000.0
3,1.0,561.0,162.0,Altona North,1973.0,-37.8444,144.8491,2.0,590000.0
2,1.0,691.0,162.0,Altona North,1973.0,-37.834,144.8553,2.0,610000.0
3,2.0,555.0,130.0,Altona North,1960.0,-37.8318,144.8388,3.0,815000.0
4,1.0,708.0,162.0,Altona North,1973.0,-37.833,144.8494,2.0,970000.0
4,1.0,668.0,162.0,Altona North,1973.0,-37.8262,144.8439,3.0,760000.0
4,3.0,252.0,162.0,Altona North,1973.0,-37.8393,144.8568,1.0,847500.0
4,1.0,633.0,158.0,Altona North,1960.0,-37.8375,144.8541,4.0,1200000.0
3,1.0,557.0,162.0,Altona North,1973.0,-37.8441,144.8505,1.0,700000.0
3,1.0,536.0,162.0,Altona North,1973.0,-37.8285,144.8351,1.0,625000.0
2,1.0,153.0,70.0,Altona North,1970.0,-37.8332,144.8649,1.0,292000.0
2,1.0,0.0,76.0,Armadale,1964.0,-37.8543,145.0262,1.0,599000.0
2,1.0,861.0,127.0,Armadale,1948.0,-37.8539,145.0284,0.0,550000.0
3,2.0,0.0,100.0,Armadale,1998.0,-37.8552,145.016,2.0,995000.0
3,2.0,101.0,105.0,Armadale,2000.0,-37.854,145.0135,2.0,1205000.0
3,2.0,296.0,150.0,Armadale,1889.0,-37.8614,145.0274,2.0,1939000.0
1,1.0,0.0,127.0,Armadale,1948.0,-37.853,145.0167,0.0,421500.0
3,1.0,217.0,116.0,Armadale,1888.0,-37.8592,145.0182,1.0,1870000.0
2,1.0,0.0,127.0,Armadale,1948.0,-37.8538,145.0127,2.0,678000.0
3,2.0,0.0,165.0,Armadale,1995.0,-37.8537,145.0267,2.0,1918000.0
2,1.0,0.0,127.0,Armadale,1948.0,-37.8619,145.0257,1.0,660000.0
3,2.0,205.0,116.0,Armadale,1910.0,-37.8574,145.0281,1.0,2050000.0
2,1.0,0.0,127.0,Armadale,1948.0,-37.8552,145.016,2.0,700000.0
2,2.0,0.0,127.0,Armadale,2006.0,-37.8555,145.0291,2.0,3625000.0
4,2.0,1581.0,127.0,Armadale,1934.0,-37.858,145.0111,2.0,3000000.0
5,2.0,693.0,127.0,Armadale,1948.0,-37.8638,145.0229,2.0,1525000.0
3,2.0,2113.0,14.0,Armadale,1970.0,-37.8543,145.0262,1.0,735000.0
2,1.0,0.0,127.0,Armadale,1948.0,-37.8528,145.0268,1.0,825000.0
3,2.0,246.0,127.0,Armadale,1948.0,-37.8566,145.0116,2.0,1586000.0
2,1.0,0.0,127.0,Armadale,1960.0,-37.8596,145.0198,1.0,645000.0
1,2.0,144.0,107.0,Armadale,1900.0,-37.8564,145.0228,1.0,1435000.0
1,1.0,0.0,38.0,Armadale,1975.0,-37.8619,145.0185,1.0,280000.0
1,1.0,0.0,127.0,Armadale,1948.0,-37.8605,145.0185,1.0,400000.0
2,2.0,0.0,127.0,Armadale,1948.0,-37.8537,145.0267,2.0,1780000.0
2,1.0,0.0,73.0,Armadale,1970.0,-37.8574,145.0174,1.0,592500.0
2,1.0,249.0,96.0,Armadale,1910.0,-37.8543,145.016,0.0,1210000.0
4,2.0,624.0,222.0,Armadale,1900.0,-37.8536,145.0173,2.0,2801000.0
1,1.0,881.0,127.0,Armadale,1948.0,-37.8614,145.0222,0.0,390000.0
3,2.0,405.0,121.0,Armadale,1910.0,-37.8545,145.0145,2.0,1800000.0
4,1.0,495.0,163.0,Armadale,1900.0,-37.8613,145.0264,2.0,2200000.0
1,1.0,0.0,127.0,Armadale,1948.0,-37.8537,145.0114,1.0,324000.0
6,3.0,1491.0,516.0,Armadale,1935.0,-37.8602,145.013,4.0,5525000.0
2,1.0,169.0,127.0,Armadale,1948.0,-37.851,145.0161,2.0,1125000.0
3,3.0,301.0,127.0,Armadale,1948.0,-37.8511,145.0167,1.0,2250000.0
3,2.0,336.0,127.0,Armadale,1948.0,-37.8558,145.015,0.0,2360000.0
2,2.0,207.0,127.0,Armadale,1948.0,-37.8571,145.0224,0.0,1900000.0
1,1.0,0.0,53.0,Armadale,1970.0,-37.8531,145.0115,1.0,440000.0
2,1.0,0.0,127.0,Armadale,1966.0,-37.8646,145.0247,1.0,490000.0
3,2.0,316.0,127.0,Armadale,1948.0,-37.8521,145.019,1.0,2365000.0
3,1.0,212.0,106.0,Armadale,1900.0,-37.8542,145.0149,2.0,1300000.0
3,2.0,0.0,127.0,Armadale,1948.0,-37.8597,145.0104,2.0,732000.0
2,1.0,0.0,74.0,Armadale,1969.0,-37.8573,145.0186,1.0,704000.0
2,1.0,0.0,98.0,Armadale,1970.0,-37.8596,145.0198,1.0,620000.0
3,1.0,328.0,108.0,Armadale,1900.0,-37.8559,145.0158,2.0,1900000.0
1,1.0,0.0,127.0,Armadale,1948.0,-37.8575,145.0174,1.0,315000.0
1,1.0,0.0,127.0,Armadale,1948.0,-37.8509,145.0203,1.0,450000.0
2,1.0,2471.0,80.0,Armadale,1970.0,-37.8573,145.0186,1.0,710000.0
2,1.0,1194.0,127.0,Armadale,1953.0,-37.8604,145.0147,1.0,872000.0
2,1.0,0.0,88.0,Armadale,1970.0,-37.8593,145.0156,1.0,598000.0
3,1.0,186.0,80.0,Armadale,1920.0,-37.8554,145.0173,2.0,1285000.0
4,3.0,421.0,127.0,Armadale,1948.0,-37.8593,145.0275,2.0,3660000.0
2,1.0,0.0,76.0,Armadale,1970.0,-37.8618,145.0183,1.0,520000.0
4,1.0,709.0,251.0,Armadale,1900.0,-37.8574,145.016,2.0,3625000.0
4,3.0,563.0,333.0,Armadale,2000.0,-37.8582,145.0138,3.0,4200000.0
3,1.0,103.0,3.0,Armadale,2000.0,-37.8542,145.0135,2.0,1101000.0
3,2.0,617.0,285.0,Armadale,1998.0,-37.8557,145.0264,2.0,3512500.0
4,3.0,544.0,127.0,Armadale,1948.0,-37.8611,145.0195,4.0,2000000.0
3,1.0,0.0,91.0,Armadale,1940.0,-37.853,145.0264,1.0,869000.0
5,2.0,617.0,127.0,Armadale,1948.0,-37.8611,145.0271,2.0,2810000.0
2,1.0,0.0,127.0,Armadale,1948.0,-37.8573,145.0112,1.0,565000.0
1,1.0,0.0,53.0,Armadale,2013.0,-37.8549,145.0113,1.0,567000.0
2,0.0,0.0,127.0,Armadale,1948.0,-37.8568,145.0161,0.0,546000.0
2,1.0,0.0,127.0,Armadale,1980.0,-37.8503,145.0185,1.0,471500.0
2,1.0,0.0,145.0,Ascot Vale,1942.0,-37.7756,144.9165,2.0,455000.0
3,1.0,298.0,108.0,Ascot Vale,1920.0,-37.7777,144.9195,2.0,940000.0
2,1.0,0.0,62.0,Ascot Vale,1980.0,-37.7761,144.9201,1.0,467000.0
3,2.0,277.0,174.0,Ascot Vale,1910.0,-37.7777,144.9221,2.0,1380000.0
2,1.0,423.0,62.0,Ascot Vale,1970.0,-37.7736,144.9015,1.0,490000.0
4,3.0,478.0,270.0,Ascot Vale,1900.0,-37.7729,144.9179,1.0,1850000.0
3,1.0,623.0,145.0,Ascot Vale,1938.0,-37.7758,144.9089,2.0,1284000.0
3,2.0,285.0,128.0,Ascot Vale,1900.0,-37.775,144.9091,2.0,971000.0
2,1.0,214.0,77.0,Ascot Vale,1890.0,-37.7776,144.9142,1.0,710000.0
6,3.0,1014.0,435.0,Ascot Vale,1887.0,-37.7721,144.9184,2.0,2425000.0
2,1.0,226.0,92.0,Ascot Vale,1920.0,-37.7745,144.9093,1.0,750000.0
2,1.0,269.0,109.0,Ascot Vale,1900.0,-37.7748,144.929,1.0,1053000.0
3,1.0,417.0,168.0,Ascot Vale,1900.0,-37.7756,144.9208,1.0,1377000.0
3,1.0,350.0,125.0,Ascot Vale,1904.0,-37.7759,144.91,2.0,970000.0
2,1.0,330.0,145.0,Ascot Vale,1942.0,-37.773,144.9049,1.0,940000.0
2,1.0,118.0,79.0,Ascot Vale,1890.0,-37.7807,144.9288,1.0,751000.0
2,1.0,173.0,102.0,Ascot Vale,1900.0,-37.7731,144.9206,1.0,950000.0
2,1.0,228.0,90.0,Ascot Vale,1995.0,-37.7718,144.9066,2.0,685000.0
3,1.0,594.0,148.0,Ascot Vale,1960.0,-37.7819,144.9064,2.0,1230000.0
2,1.0,0.0,145.0,Ascot Vale,1942.0,-37.7738,144.9345,1.0,636500.0
3,1.0,317.0,145.0,Ascot Vale,1942.0,-37.7746,144.9112,0.0,910000.0
2,1.0,226.0,87.0,Ascot Vale,1900.0,-37.7774,144.9186,1.0,770000.0
3,2.0,229.0,145.0,Ascot Vale,2011.0,-37.7778,144.9065,2.0,960000.0
4,1.0,300.0,185.0,Ascot Vale,1890.0,-37.7766,144.9143,1.0,890000.0
2,1.0,170.0,145.0,Ascot Vale,1942.0,-37.7732,144.9206,1.0,965000.0
3,1.0,487.0,131.0,Ascot Vale,1900.0,-37.7725,144.9146,1.0,1440000.0
2,1.0,255.0,145.0,Ascot Vale,1942.0,-37.7825,144.9208,0.0,955000.0
